id,theme,subtheme,indicator,description,entity,period,value,unit,supporting_doc_link,comment
i1,General Information,Company information,"""NACE"" code of the company","Please indicate the ""NACE"" code of the company (if applicable and at the most precise level e.g. ""64.30"")
If the company has several Nace codes, please specify all these codes.",HQ,2022,NA,Text,,
i1,General Information,Company information,"""NACE"" code of the company","Please indicate the ""NACE"" code of the company (if applicable and at the most precise level e.g. ""64.30"")
If the company has several Nace codes, please specify all these codes.",HQ,2023,1234,Text,,
i10,Governance,CSR governance,Number of underrepresented members on the Board,Please provide the number of underrepresented members on the Board of Directors (or Supervisory Board),HQ,2023,1 Number,Number,,
i10,Governance,CSR governance,Number of underrepresented members on the Board,Please provide the number of underrepresented members on the Board of Directors (or Supervisory Board),HQ,2022,2 Number,Number,,
i100,Social,"Diversity, equity and inclusion",Percentage of employees with disabilities,,HQ,2023,2.53 %,Percentage,,
i101,Social,"Diversity, equity and inclusion",Percentage of employees with disabilities occupying positions of responsibility (excluding board of directors),,HQ,2023,2.53 %,Percentage,,
i102,Social,"Diversity, equity and inclusion",Percentage of women in management teams,,HQ,2023,40 %,Percentage,,
i103,Social,"Diversity, equity and inclusion",Professional equality index (score),,HQ,2023,44 %,Percentage,,
i104,Social,"Diversity, equity and inclusion",Unadjusted pay gap (%),,HQ,2023,11%,Percentage,,
i105,Social,"Diversity, equity and inclusion",Number of alerts launched for discrimination or harassment situations,,HQ,2023,0 Number,Number,,
i106,Social,"Diversity, equity and inclusion",Number of confirmed or harassment discrimination incidents,,HQ,2023,0 Number,Number,,
i107,Social,"Diversity, equity and inclusion",Professional gender equality index,"(only for French companies) Has the company calculated its professional gender equality index, in accordance with the legal obligation for all companies with more than 50 employees? If so, please provide the overall score in the comments.",HQ,2023,True,True/False,,
i107,Social,"Diversity, equity and inclusion",Professional gender equality index,"(only for French companies) Has the company calculated its professional gender equality index, in accordance with the legal obligation for all companies with more than 50 employees? If so, please provide the overall score in the comments.",HQ,2022,True,True/False,,
i108,Social,"Diversity, equity and inclusion",Number of women among the 10 highest-paid profiles,How many women are there among the 10 highest-paid profiles of the company over the reporting period?,HQ,2023,5,Number,,
i108,Social,"Diversity, equity and inclusion",Number of women among the 10 highest-paid profiles,How many women are there among the 10 highest-paid profiles of the company over the reporting period?,HQ,2022,2 Number,Number,,
i109,Ethics,Competitive behaviour,"Convictions for anti-competitive behavior, anti-trust or monopoly practices","Did your company has been accused and found guilty for concerns associated with anti-competitive behavior, anti-trust or monopoly practices within the last reporting period (yes/no)?",HQ,2023,False,True/False,,
i109,Ethics,Competitive behaviour,"Convictions for anti-competitive behavior, anti-trust or monopoly practices","Did your company has been accused and found guilty for concerns associated with anti-competitive behavior, anti-trust or monopoly practices within the last reporting period (yes/no)?",HQ,2022,False,True/False,,
i11,Governance,CSR governance,Number of underrepresented members on the Executive or Management Committee,Please provide the number of underrepresented members on the Executive or Management Committee,HQ,2022,5 Number,Number,,
i11,Governance,CSR governance,Number of underrepresented members on the Executive or Management Committee,Please provide the number of underrepresented members on the Executive or Management Committee,HQ,2023,7,Number,,
i110,Ethics,Corruption and conflict of interest,Initiatives to safeguard against illegal practices,What does the organisation currently do to safeguard against illegal practices? Has the organisation had any issues in relation to illegal practices (i.e. corruption/fraud) in the past? How has this been detected and resolved?,HQ,2023,NA,Text,,
i110,Ethics,Corruption and conflict of interest,Initiatives to safeguard against illegal practices,What does the organisation currently do to safeguard against illegal practices? Has the organisation had any issues in relation to illegal practices (i.e. corruption/fraud) in the past? How has this been detected and resolved?,HQ,2022,NA,Text,,
